name,essround,edition,idno,cntry,dweight,pspwght,pweight,anweight,gndr,agea,maritalb,domicil,hhmmb,brncntr,ctzcntr,eisced,mnactic,pdwrk,emplrel,wrkctra,wkhtot,isco08,hinctnta,hincsrca,hincfel,health,hlthhmp,happy,stflife,cgtsmok,alcfreq,alcwkdy,alcwknd,alcbnge,height,weighta,region
ESS11e04_1,11,4.1,51878,GR,0.67283696,0.8763641,0.32726234,0.28680098,2,59,6,4,1,1,1,6,1,1,2,6,40,2142,77,1,1,1,3,7,6,4,4,22.76,22.76,3,167,63,EL65
ESS11e04_1,11,4.1,51893,GR,0.8858081,0.6032457,0.32726234,0.1974196,2,57,1,2,3,1,1,4,8,0,6,6,666,66666,77,1,3,1,3,6,5,5,3,13.04,13.04,2,172,70,EL30
ESS11e04_1,11,4.1,51897,GR,1.9622341,1.820052,0.32726234,0.5956345,2,41,1,1,4,1,1,6,1,1,3,1,40,5249,5,1,3,1,3,8,8,6,3,13.04,5.37,2,167,66,EL52
ESS11e04_1,11,4.1,51905,GR,1.00739,0.68081456,0.32726234,0.22280498,2,47,1,1,4,1,1,4,1,1,1,1,40,7512,5,1,3,1,3,9,9,1,1,49.3,49.3,1,166,86,EL61
ESS11e04_1,11,4.1,51913,GR,0.45339328,0.70506173,0.32726234,0.23074016,2,26,6,3,2,2,1,4,1,1,1,1,48,5230,88,1,1,2,3,9,5,6,7,6666,6666,6,174,72,EL42
ESS11e04_1,11,4.1,51944,GR,1.0557597,0.77162135,0.32726234,0.25252262,2,24,6,2,3,1,1,4,2,0,6,6,666,66666,88,1,2,1,3,6,1,6,5,0,11.38,4,168,85,EL30
ESS11e04_1,11,4.1,51973,GR,0.7549475,0.8721975,0.32726234,0.2854374,1,58,6,2,2,1,1,6,3,0,1,2,50,4419,77,5,4,1,3,6,7,4,3,26.08,26.08,2,179,86,EL30
ESS11e04_1,11,4.1,51993,GR,0.29935974,0.17091389,0.32726234,0.05593368,2,58,5,4,1,1,1,5,1,1,2,6,60,3423,77,2,2,2,3,6,7,6,7,6666,6666,6,166,63,EL43
ESS11e04_1,11,4.1,52006,GR,1.0065966,1.162929,0.32726234,0.3805829,1,66,1,1,2,1,1,7,6,0,1,1,50,3123,77,77,1,1,3,3,3,1,2,22.76,34.14,2,178,82,EL30
ESS11e04_1,11,4.1,52009,GR,2.3336802,2.5888057,0.32726234,0.84721863,2,31,6,1,3,1,1,6,1,1,1,2,30,2330,3,1,3,1,3,4,7,6,3,13.04,15.8,2,172,73,EL52
ESS11e04_1,11,4.1,52011,GR,1.0083938,0.69578743,0.32726234,0.22770503,2,43,1,3,2,1,1,4,1,1,1,2,40,5249,6,1,2,1,3,8,7,6,7,6666,6666,6,175,70,EL52
ESS11e04_1,11,4.1,52033,GR,0.60395795,0.4113023,0.32726234,0.13460375,2,79,5,2,2,1,1,4,6,0,6,6,666,66666,88,1,3,3,1,10,8,1,7,6666,6666,6,160,60,EL30
